"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DATA LOGGER_VALUE{1}";"04/06/2024 19:37:13";291;1;45447817517,037
"DATA LOGGER_VALUE{5}";"04/06/2024 19:37:13";571;1;45447817517,037
"variables supervision_ANGLE VENT";"04/06/2024 19:37:13";233;1;45447817517,037
"variables supervision_VITESSE VENT";"04/06/2024 19:37:13";57;1;45447817517,037
"DATA_METEO_Static_1{16}";"04/06/2024 19:37:13";253;1;45447817517,037
"variables supervision_IRRADIATION";"04/06/2024 19:38:13";0;1;45447818210,8912
"DATA LOGGER_VALUE{0}";"04/06/2024 19:38:13";243;1;45447818210,8912
"DATA LOGGER_VALUE{1}";"04/06/2024 19:38:13";288;1;45447818210,8912
"DATA LOGGER_VALUE{5}";"04/06/2024 19:38:13";569;1;45447818210,8912
"variables supervision_ANGLE VENT";"04/06/2024 19:38:13";357;1;45447818210,8912
"variables supervision_VITESSE VENT";"04/06/2024 19:38:13";15;1;45447818210,8912
"DATA_METEO_Static_1{16}";"04/06/2024 19:38:13";245;1;45447818210,8912
"variables supervision_IRRADIATION";"04/06/2024 19:39:13";0;1;45447818904,8958
"DATA LOGGER_VALUE{0}";"04/06/2024 19:39:13";240;1;45447818904,8958
"DATA LOGGER_VALUE{1}";"04/06/2024 19:39:13";284;1;45447818904,8958
"DATA LOGGER_VALUE{5}";"04/06/2024 19:39:13";577;1;45447818904,8958
"variables supervision_ANGLE VENT";"04/06/2024 19:39:13";247;1;45447818904,8958
"variables supervision_VITESSE VENT";"04/06/2024 19:39:13";44;1;45447818904,8958
"DATA_METEO_Static_1{16}";"04/06/2024 19:39:13";236;1;45447818904,8958
"variables supervision_IRRADIATION";"04/06/2024 19:40:13";0;1;45447819600,0694
"DATA LOGGER_VALUE{0}";"04/06/2024 19:40:13";238;1;45447819600,0694
"DATA LOGGER_VALUE{1}";"04/06/2024 19:40:13";281;1;45447819600,0694
"DATA LOGGER_VALUE{5}";"04/06/2024 19:40:13";584;1;45447819600,0694
"variables supervision_ANGLE VENT";"04/06/2024 19:40:13";214;1;45447819600,0694
"variables supervision_VITESSE VENT";"04/06/2024 19:40:13";32;1;45447819600,0694
"DATA_METEO_Static_1{16}";"04/06/2024 19:40:13";228;1;45447819600,0694
"variables supervision_IRRADIATION";"04/06/2024 19:41:13";0;1;45447820294,0856
"DATA LOGGER_VALUE{0}";"04/06/2024 19:41:13";238;1;45447820294,0856
"DATA LOGGER_VALUE{1}";"04/06/2024 19:41:13";281;1;45447820294,0856
"DATA LOGGER_VALUE{5}";"04/06/2024 19:41:13";584;1;45447820294,0856
"variables supervision_ANGLE VENT";"04/06/2024 19:41:13";224;1;45447820294,0856
"variables supervision_VITESSE VENT";"04/06/2024 19:41:13";46;1;45447820294,0856
"DATA_METEO_Static_1{16}";"04/06/2024 19:41:13";224;1;45447820294,0856
"variables supervision_IRRADIATION";"04/06/2024 19:42:13";0;1;45447820988,2407
"DATA LOGGER_VALUE{0}";"04/06/2024 19:42:13";240;1;45447820988,2407
"DATA LOGGER_VALUE{1}";"04/06/2024 19:42:13";280;1;45447820988,2407
"DATA LOGGER_VALUE{5}";"04/06/2024 19:42:13";577;1;45447820988,2407
"variables supervision_ANGLE VENT";"04/06/2024 19:42:13";15;1;45447820988,2407
"variables supervision_VITESSE VENT";"04/06/2024 19:42:13";21;1;45447820988,2407
"DATA_METEO_Static_1{16}";"04/06/2024 19:42:13";216;1;45447820988,2407
"variables supervision_IRRADIATION";"04/06/2024 19:43:13";0;1;45447821683,3681
"DATA LOGGER_VALUE{0}";"04/06/2024 19:43:13";241;1;45447821683,3681
"DATA LOGGER_VALUE{1}";"04/06/2024 19:43:13";279;1;45447821683,3681
"DATA LOGGER_VALUE{5}";"04/06/2024 19:43:13";575;1;45447821683,3681
"variables supervision_ANGLE VENT";"04/06/2024 19:43:13";218;1;45447821683,3681
"variables supervision_VITESSE VENT";"04/06/2024 19:43:13";28;1;45447821683,3681
"DATA_METEO_Static_1{16}";"04/06/2024 19:43:13";210;1;45447821683,3681
"variables supervision_IRRADIATION";"04/06/2024 19:44:13";0;1;45447822377,4074
"DATA LOGGER_VALUE{0}";"04/06/2024 19:44:13";241;1;45447822377,4074
"DATA LOGGER_VALUE{1}";"04/06/2024 19:44:13";279;1;45447822377,4074
"DATA LOGGER_VALUE{5}";"04/06/2024 19:44:13";575;1;45447822377,4074
"variables supervision_ANGLE VENT";"04/06/2024 19:44:13";218;1;45447822377,4074
"variables supervision_VITESSE VENT";"04/06/2024 19:44:13";28;1;45447822377,4074
"DATA_METEO_Static_1{16}";"04/06/2024 19:44:13";210;1;45447822377,4074
"variables supervision_IRRADIATION";"04/06/2024 19:45:13";0;1;45447823072,581
"DATA LOGGER_VALUE{0}";"04/06/2024 19:45:13";241;1;45447823072,581
"DATA LOGGER_VALUE{1}";"04/06/2024 19:45:13";279;1;45447823072,581
"DATA LOGGER_VALUE{5}";"04/06/2024 19:45:13";575;1;45447823072,581
"variables supervision_ANGLE VENT";"04/06/2024 19:45:13";218;1;45447823072,581
"variables supervision_VITESSE VENT";"04/06/2024 19:45:13";28;1;45447823072,581
"DATA_METEO_Static_1{16}";"04/06/2024 19:45:13";210;1;45447823072,581
"variables supervision_IRRADIATION";"04/06/2024 19:46:13";0;1;45447823766,5972
"DATA LOGGER_VALUE{0}";"04/06/2024 19:46:13";239;1;45447823766,5972
"DATA LOGGER_VALUE{1}";"04/06/2024 19:46:13";278;1;45447823766,5972
"DATA LOGGER_VALUE{5}";"04/06/2024 19:46:13";580;1;45447823766,5972
"variables supervision_ANGLE VENT";"04/06/2024 19:46:13";223;1;45447823766,5972
"variables supervision_VITESSE VENT";"04/06/2024 19:46:13";39;1;45447823766,5972
"DATA_METEO_Static_1{16}";"04/06/2024 19:46:13";208;1;45447823766,5972
"variables supervision_IRRADIATION";"04/06/2024 19:47:13";0;1;45447824460,6019
"DATA LOGGER_VALUE{0}";"04/06/2024 19:47:13";239;1;45447824460,6019
"DATA LOGGER_VALUE{1}";"04/06/2024 19:47:13";276;1;45447824460,6019
"DATA LOGGER_VALUE{5}";"04/06/2024 19:47:13";581;1;45447824460,6019
"variables supervision_ANGLE VENT";"04/06/2024 19:47:13";234;1;45447824460,6019
"variables supervision_VITESSE VENT";"04/06/2024 19:47:13";41;1;45447824460,6019
"DATA_METEO_Static_1{16}";"04/06/2024 19:47:13";207;1;45447824460,6019
"variables supervision_IRRADIATION";"04/06/2024 19:48:13";0;1;45447825155,7176
"DATA LOGGER_VALUE{0}";"04/06/2024 19:48:13";239;1;45447825155,7176
"DATA LOGGER_VALUE{1}";"04/06/2024 19:48:13";276;1;45447825155,7176
"DATA LOGGER_VALUE{5}";"04/06/2024 19:48:13";582;1;45447825155,7176
"variables supervision_ANGLE VENT";"04/06/2024 19:48:13";230;1;45447825155,7176
"variables supervision_VITESSE VENT";"04/06/2024 19:48:13";53;1;45447825155,7176
"DATA_METEO_Static_1{16}";"04/06/2024 19:48:13";201;1;45447825155,7176
"variables supervision_IRRADIATION";"04/06/2024 19:49:13";0;1;45447825849,9537
"DATA LOGGER_VALUE{0}";"04/06/2024 19:49:13";239;1;45447825849,9537
"DATA LOGGER_VALUE{1}";"04/06/2024 19:49:13";276;1;45447825849,9537
"DATA LOGGER_VALUE{5}";"04/06/2024 19:49:13";582;1;45447825849,9537
"variables supervision_ANGLE VENT";"04/06/2024 19:49:13";230;1;45447825849,9537
"variables supervision_VITESSE VENT";"04/06/2024 19:49:13";53;1;45447825849,9537
"DATA_METEO_Static_1{16}";"04/06/2024 19:49:13";201;1;45447825849,9537
"variables supervision_IRRADIATION";"04/06/2024 19:50:13";0;1;45447826543,9236
"DATA LOGGER_VALUE{0}";"04/06/2024 19:50:13";239;1;45447826543,9236
"DATA LOGGER_VALUE{1}";"04/06/2024 19:50:13";276;1;45447826543,9236
